0,1
0,5
0,6
0,16
1,0
1,3
1,4
1,5
1,6
3,1
3,4
4,1
4,3
5,0
5,1
5,6
5,16
6,0
6,1
6,5
16,0
16,5
16,17
16,18
17,16
17,43
18,16
18,60
43,17
60,18
62,63
62,67
62,68
62,78
63,62
63,65
63,66
63,67
63,68
65,63
65,66
66,63
66,65
67,62
67,63
67,68
67,78
67,93
68,62
68,63
68,67
68,93
78,62
78,67
78,79
79,78
93,67
93,68
124,125
124,129
124,130
124,140
125,124
125,127
125,128
125,129
125,130
127,125
127,128
127,172
128,125
128,127
129,124
129,125
129,130
129,140
129,155
130,124
130,125
130,129
130,155
140,124
140,129
155,129
155,130
172,127
186,187
186,191
186,192
186,202
187,186
187,189
187,190
187,191
187,192
189,187
189,190
189,207
189,220
189,227
189,233
189,234
190,187
190,189
191,186
191,187
191,192
191,202
191,217
192,186
192,187
192,191
192,217
192,218
202,186
202,191
207,189
207,220
217,191
217,192
218,192
218,233
220,189
220,207
220,227
220,233
227,189
227,220
227,233
233,189
233,218
233,220
233,227
234,189
249,250
249,252
250,249
250,252
250,286
250,288
250,289
250,290
250,291
250,292
250,293
250,294
252,249
252,250
252,286
252,294
286,250
286,252
286,288
286,290
286,291
286,292
286,293
288,250
288,286
288,291
288,293
289,250
290,250
290,286
291,250
291,286
291,288
291,292
291,294
292,250
292,286
292,291
293,250
293,286
293,288
294,250
294,252
294,291
312,314
312,348
312,350
312,354
312,355
312,356
314,312
314,348
314,356
348,312
348,314
348,350
348,354
348,355
350,312
350,348
350,355
354,312
354,348
355,312
355,348
355,350
356,312
356,314
373,375
373,376
373,377
373,378
375,373
375,376
375,393
375,419
375,420
376,373
376,375
377,373
377,378
378,373
378,377
393,375
419,375
420,375
435,437
435,438
437,435
437,438
437,455
437,475
437,481
437,482
438,435
438,437
455,437
475,437
475,481
481,437
481,475
482,437
496,497
496,502
497,496
497,498
497,499
497,500
497,502
498,497
498,500
498,529
498,534
498,536
498,538
498,540
498,542
499,497
499,500
500,497
500,498
500,499
500,526
500,529
500,534
500,542
502,496
502,497
502,527
507,526
511,526
526,500
526,507
526,511
526,527
527,502
527,526
529,498
529,500
529,534
529,536
529,538
529,540
534,498
534,500
534,529
534,535
534,536
534,538
534,540
535,534
536,498
536,529
536,534
538,498
538,529
538,534
540,498
540,529
540,534
542,498
542,500
559,561
559,562
561,559
561,562
562,559
562,561
562,571
562,588
562,591
562,596
562,604
571,562
571,591
588,562
591,562
591,571
591,596
596,562
596,591
604,562
